,Unnamed: 0,abv,ibu,id,name_x,style,brewery_id,ounces,name_y,city,state,region
163,270,0.066,50.0,985,Bark Bite IPA,American IPA,444,16.0,Big Wood Brewery,Vadnais Heights,MN,midwest
164,271,0.055,45.0,2508,Jalapeno Pale Ale,American Pale Ale (APA),70,16.0,Birdsong Brewing Company,Charlotte,NC,south
165,275,0.07200000000000001,75.0,2620,Saucy Intruder,Rye Beer,18,16.0,Black Acre Brewing Co.,Indianapolis,IN,midwest
166,276,0.045,16.0,2412,Deception,American Blonde Ale,112,12.0,Black Market Brewing Company,Temecula,CA,west
167,277,0.075,35.0,1898,Blackmarket Rye IPA,American IPA,112,12.0,Black Market Brewing Company,Temecula,CA,west
168,278,0.05,8.0,1897,Black Market Hefeweizen,Hefeweizen,112,12.0,Black Market Brewing Company,Temecula,CA,west
169,279,0.058,44.0,1896,Aftermath Pale Ale,American Pale Ale (APA),112,12.0,Black Market Brewing Company,Temecula,CA,west
170,280,0.071,83.0,1850,American India Red Ale,American Strong Ale,294,12.0,Black Shirt Brewing Company,Denver,CO,west
171,281,0.071,45.0,1849,American Red Porter,American Porter,294,12.0,Black Shirt Brewing Company,Denver,CO,west
172,282,0.078,34.0,1848,American Red Saison,Saison / Farmhouse Ale,294,12.0,Black Shirt Brewing Company,Denver,CO,west
173,283,0.066,44.0,1847,Colorado Red Ale,American Amber / Red Ale,294,12.0,Black Shirt Brewing Company,Denver,CO,west
174,284,0.048,16.0,2485,Saddle Bronc Brown Ale,American Brown Ale,79,12.0,Black Tooth Brewing Company,Sheridan,WY,west
175,285,0.046,20.0,2484,Bomber Mountain Amber Ale,American Amber / Red Ale,79,12.0,Black Tooth Brewing Company,Sheridan,WY,west
176,287,0.048,47.0,2634,Nordskye ,American IPA,12,12.0,Blackrocks Brewery,Marquette,MI,midwest
177,288,0.06,30.0,2153,North Third Stout,Foreign / Export Stout,12,12.0,Blackrocks Brewery,Marquette,MI,midwest
178,291,0.07,51.0,1481,51K IPA,American IPA,12,12.0,Blackrocks Brewery,Marquette,MI,midwest
179,303,0.056,37.0,888,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12.0,Blue Blood Brewing Company,Lincoln,NE,midwest
180,306,0.046,35.0,611,834 Happy As Ale,American Pale Ale (APA),380,12.0,Blue Blood Brewing Company,Lincoln,NE,midwest
181,309,0.08,80.0,1812,Quarter Mile Double IPA,American Double / Imperial IPA,304,12.0,Blue Hills Brewery,Canton,MA,northeast
182,310,0.059,60.0,1547,Full Nelson Pale Ale,American Pale Ale (APA),382,12.0,Blue Mountain Brewery,Afton,VA,south
183,311,0.065,30.0,1546,Steel Wheels ESB,Extra Special / Strong Bitter (ESB),382,12.0,Blue Mountain Brewery,Afton,VA,south
184,312,0.053,22.0,1545,Blue Mountain Classic Lager,Euro Pale Lager,382,12.0,Blue Mountain Brewery,Afton,VA,south
185,313,0.059,60.0,119,Full Nelson Pale Ale (2010),American Pale Ale (APA),382,12.0,Blue Mountain Brewery,Afton,VA,south
186,314,0.049,16.0,1408,Kölsch 151,Kölsch,414,12.0,Blue Mountain Brewery,Arrington,VA,south
187,320,0.06,40.0,692,Blue Point White IPA,American White IPA,489,12.0,Blue Point Brewing Company,Patchogue,NY,northeast
188,321,0.044,16.0,667,Blue Point Summer Ale,American Blonde Ale,489,12.0,Blue Point Brewing Company,Patchogue,NY,northeast
189,322,0.055,28.0,665,Toasted Lager,Vienna Lager,489,12.0,Blue Point Brewing Company,Patchogue,NY,northeast
190,331,0.042,30.0,1891,Longhop IPA,American IPA,281,16.0,Bolero Snort Brewery,Ridgefield Park,NJ,northeast
191,332,0.04,34.0,1890,Lucky Buck,Irish Dry Stout,281,16.0,Bolero Snort Brewery,Ridgefield Park,NJ,northeast
